id,text,score,valence
1,Mortar assault leaves at least 18 dead,anger,22
2,Goal delight for Sheva,anger,0
3,Nigeria hostage feared dead is freed,anger,18
4,Bombers kill shoppers,anger,66
5,"Vegetables, not fruit, slow brain decline",anger,0
6,PM Havana deal a good experiment,anger,0
7,Kate is marrying Doherty,anger,0
8,NASA revisiting life on Mars question,anger,0
9,"Happy birthday, iPod",anger,0
10,Alonso would be happy to retire with three titles,anger,0
11,Madonna's New Tot 'Happy at Home' in London,anger,0
12,Nicole Kidman asks dad to help stop husband's drinking,anger,14
13,United Finds Good Connection in Win,anger,0
14,'Runway' Making Good Without Making Nice,anger,0
15,"We were 'arrogant and stupid' over Iraq, says US diplomat",anger,42
16,Bad reasons to be good,anger,9
17,Madonna's new baby's daddy didn't realize adoption was `for good',anger,0
18,Women in their 60s 'are perfectly good mothers',anger,19
19,We're a pretty kind 'bully',anger,0
20,Moderate drinking reduces men's heart attack risk,anger,0
21,Tom Cruise and Katie Holmes set wedding date,anger,0
22,Kidnapped AP photographer freed in Gaza,anger,30
23,"Bush Insists Troops Stay in Iraq, Predicts Midterm Victory",anger,34
24,Hurricane Paul Weakens To Tropical Storm,anger,0
25,UK announces immigration restrictions,anger,42
26,Three found alive from missing Russian ship -report,anger,0
27,Poison Pill to Swallow Hawks Hurting After Loss to Vikes,anger,0
28,Injured Marathon Winner Leaves Hospital,anger,14
29,Hacker unlocks Apple music download protection,anger,21
30,Spanish journalist seized in Gaza,anger,61
31,Sudan urges UN to replace its special envoy,anger,12
32,Resolution approved for international games,anger,0
33,Pair of Satellites Will Document Sun in 3-D,anger,0
34,Martian Life Could Have Evaded Detection by Viking Landers,anger,5
35,The sweet tune of an anniversary,anger,0
36,Did Viking Probes Miss Life on Mars?,anger,11
37,Diplomat acknowledges US arrogance in Iraq,anger,45
38,More Human Remains Found at Ground Zero,anger,39
39,How to Prevent Iraq From Getting Even Worse,anger,31
40,Tensions as Hungary marks uprising,anger,25
41,Stanford study warns of Internet addiction,anger,0
42,No evidence of ice reserves on the moon,anger,0
43,A Picture and A Thousand Words,anger,0
44,Parachutist dies at bridge-jump festival,anger,6
45,US Troops Killed In October In Iraq,anger,46
46,"Chefs not counting calories, study finds",anger,15
47,Deaths linked to flu vaccine,anger,34
48,Perfect lives lose their focus,anger,0
49,Bread-Heavy Diet Linked to Kidney Cancer,anger,1
50,Beating poverty in a small way,anger,0
51,Israel insists on Lebanon overflights,anger,39
52,Britain to restrict immigrants from new EU members,anger,7
53,Confusion Reigns In the Expanding Digital World,anger,3
54,Game on! London exhibition celebrates the history of video games,anger,0
55,Making peace from victory over poverty,anger,0
56,Marine killed in fighting west of Baghdad,anger,24
57,Scientists create first cloaking device,anger,0
58,Amateur rocket scientists reach for space,anger,0
59,Confusion Reigns In the Expanding Digital World,anger,6
60,Deaths linked to flu vaccine,anger,37
61,Israel admits using phosphorous shells in Lebanon,anger,54
62,4th person dies after receiving flu shot,anger,39
63,Police and shoppers targeted in growing Iraq violence,anger,45
64,Scientists discover miracle in the depths,anger,0
65,Doctors Seeing Patients Who Think They're Internet Addicted,anger,0
66,China launches two satellites into orbit,anger,0
67,Vegetables May Boost Brain Power in Older Adults,anger,0
68,Hurricane Paul nears Category 3 status,anger,0
69,"Russian ship sinks, 18-member crew missing",anger,5
70,Iran's president urges higher birth rate,anger,0
71,Apple set for massive market gains,anger,0
72,Tumor Types May Explain Survival Rates for Cancer,anger,0
73,Routine mission turns into hunt for missing comrade,anger,3
74,Bad weather slows S.Korean search for Russian ship,anger,6
75,Tailors and housewives busy as Muslims celebrate Eid,anger,8
76,Active peace brings the promise of development,anger,0
77,Abbas condemns Israeli massacre in northern Gaza Strip,anger,70
78,"Bangladesh ferry sinks, 15 dead",anger,24
79,Bucs find a new kick in life,anger,0
80,Google to unveil election mashup,anger,0
81,Police warn of child exploitation online,anger,52
82,Breast Cancer Awareness is Important,anger,0
83,Hungary police tackle violent protestors,anger,18
84,Three drivers had reason to be proud in Brazil,anger,0
85,Celebrities Protest Malibu Gas Facility,anger,25
86,Lebo A life lived on the edge,anger,0
87,"Presto! He's Batman, then magic man",anger,0
88,"Heavy use of mobile phones can make men infertile, scientists say",anger,0
89,Russian ship sinks in Pacific,anger,9
90,China Successfully Launches Two Satellites,anger,0
91,Prestige has magic touch,anger,0
92,"Lies, damned lies, and divorce",anger,43
93,Manning inspires Giants to victory in Dallas,anger,0
94,Riot warning for France suburbs,anger,46
95,Full recovery expected for marathon winner,anger,0
96,Sony apologises for global battery recall,anger,6
97,Questions on credit card safety,anger,1
98,Budapest calm after night of violent protests,anger,34
99,Vegetables May Boost Brain Power in Older Adults,anger,0
100,Report criticises US press freedoms,anger,25
101,French suburb riots could resume,anger,6
102,Photographer kidnapping condemned,anger,47
103,Photographer kidnapped in Gaza,anger,55
104,Baseball Rogers enjoys his muddied streak,anger,0
105,"Cultural revolutionary, the iPod is five",anger,0
106,Life on Mars? Maybe We Missed It,anger,0
107,Three found alive from missing Russian ship -report,anger,0
108,Moderate drinking reduces men's heart attack risk,anger,0
109,The sweet tune of an anniversary,anger,0
110,Inconvenient truths,anger,12
111,Dating difficult for Harry Potter,anger,4
112,Students lose their rite of passage,anger,0
113,Putin vows to tackle illegal immigration,anger,10
114,Ottawa must redefine 'terror',anger,0
115,"Britain to Limit Workers from Romania, Bulgaria",anger,5
116,Top General Optimistic on Iraq,anger,28
117,Kim Osorio Wins Sexual Harrassment Suit Against The Source,anger,8
118,Silly and substantial,anger,0
119,Official laughs for Borat,anger,24
120,Speaker Hastert testifies before panel probing sex scandal,anger,9
121,On Educating Sexes Separately,anger,0
122,Tom Cruise and Katie Holmes set wedding date,anger,0
123,Martian Life Could Have Evaded Detection by Viking Landers,anger,4
124,Ukraine gas deal marred by fears,anger,21
125,Marathon victory comes at heavy cost,anger,5
126,College tuition continues climbing,anger,54
127,German paper shows soldiers desecrating skull,anger,43
128,"War is close, Ethiopia tells Somali rebels",anger,52
129,Advantage Cardinals with Suppan in Game 4,anger,0
130,NASA spacecraft to measure Sun,anger,0
131,"Sony Hates Europeans, Will Prevent The Importing of PS3",anger,34
132,Flu Vaccine Appears Safe for Young Children,anger,0
133,Google To Launch Yet Another Search Tool,anger,0
134,Tropical Storm Paul's Outer Bands Hit Mexico's Baja California,anger,16
135,Israeli Bomblets Plague Lebanon,anger,54
136,"New Indonesia Calamity, a Mud Bath, Is Man-Made",anger,54
137,U.S. Weighs Sanctions Against North Korea,anger,61
138,"Rice, in Baghdad, Insists That Iraqis Are ",anger,37
139,Senator Says U.S. Should Rethink Iraq Strategy,anger,0
140,German Chief Forges Accord on Financing Health Care,anger,0
141,Turkish Writers Say Efforts to Stifle Speech May Backfire,anger,49
142,Kurdish Lawmaker Killed in an Attack in Baghdad,anger,52
143,Anti-U.S. Attack Videos Spread on the Internet,anger,63
144,"Women Face Greatest Threat of Violence at Home, Study Finds",anger,51
145,Appeal by Chinese Researcher for Times May Soon Be Heard,anger,0
146,Brazil Air Force Cites Faults and Confusion in Fatal Crash,anger,15
147,A Mix of Oil and Environmentalism,anger,29
148,Immigrants and French Reach Deal in Standoff,anger,18
149,Genghis Khan Beer? Mongolia Grimaces,anger,20
150,Dead Bachelors in Remote China Still Find Wives,anger,0
151,"Managua Journal Hold the Mojito and Margarita, Nicaragua Has el Macu",anger,0
153,An Old Letter Casts Doubts on Iran's Goal for Uranium,anger,0
154,U.S. Warns North Koreans About Nuclear Test,anger,0
155,Global Sludge Ends in Tragedy for Ivory Coast,anger,23
156,Equipment on Plane in Brazil Collision May Have Been Faulty,anger,0
158,Iraqi Journalists Add Laws to List of Dangers,anger,49
159,U.N. Force Is Treading Lightly on Lebanese Soil,anger,59
160,Cleric Said to Lose Reins Over Part of Iraqi Militia,anger,7
161,"Citing Spy Agencies' Study, Democrats Seek Iraq Changes",anger,0
162,Opera Canceled Over a Depiction of Muhammad,anger,33
163,Military Officials Add to U.S. Criticism of Iraq's Government,anger,0
164,Teacher in Hiding After Attack on Islam Stirs Threats,anger,3
165,Combative Bush Releases Parts of Terror Study,anger,25
166,Growing Unarmed Battalion in Qaeda Army Is Using Internet to Get the Message Out,anger,13
167,"Iraqi Linked to Sunni Bloc Is Held in Plot, Military Says",anger,34
168,"Seduced by Snacks? No, Not You",anger,39
169,Friends for Life An Emerging Biology of Emotional Healing,anger,32
170,"Alzheimer's Drugs Offer No Help, Study Finds",anger,26
171,"Across Europe, Worries on Islam Spread to Center",anger,0
172,Cooking Defines Sephardic Jews at Sukkot,anger,33
173,"Fitness Bodies in Motion, Clean and Sober",anger,10
174,In God's Name Religion-Based Tax Breaks Housing to Paychecks to Books,anger,0
175,"Yankee Dies in Plane Crash, Official Says",anger,0
176,An Elephant Crackup?,anger,0
177,"With YouTube, Grad Student Hits Jackpot Again",anger,0
178,Dow flirts with record highs again,anger,11
179,Tropical Storm Isaac forms in Atlantic,anger,0
180,New Iraq terror tape calls for abducting foreigners,anger,0
181,'Deep regret' for ex-HP exec,anger,0
182,'Opportunity' knocks on geologist's dream crater,anger,37
183,Squirrel jumps boy in park; rabies suspected,anger,0
184,Girl left comatose after dental visit dies,anger,0
185,Porn star candidate campaigns on campus,anger,28
186,School ends football season after 0-4 start,anger,39
187,Charlie Sheen to become highest-paid sitcom star,anger,31
188,Jon Stewart mocks benefits of CNN's I,anger,0
189,Ashton Kutcher tells secret to Ryan Seacrest,anger,3
190,Nails-on-chalkboard study earns Ig,anger,13
191,Gunman 'fine' before shooting,anger,0
192,Marijuana may stave off Alzheimer's,anger,4
193,Kentucky seeks alcohol huffing ban,anger,6
194,Toddler died from tainted spinach,anger,0
195,Judge dismisses Karr's porn case,anger,4
196,10 die in 22-hour Kashmir standoff,anger,59
197,Slain Amish girls laid to rest,anger,6
198,"5,000 flee plant fire",anger,50
199,Cher auction fetches double pre-sale estimates,anger,22
200,Stars scuffle on 'Grey's Anatomy',anger,30
201,Probe under way in Yankee crash,anger,0
202,Amish schoolhouse torn down,anger,15
203,Warner will not run in '08,anger,2
204,Reid land deal under scrutiny,anger,29
205,"Flooding washes out road to Valdez, Alaska",anger,0
206,Briton admits U.S. bomb plot role,anger,2
207,Commentary Minutemen have a right to be idiotic,anger,0
208,Madonna files adoption papers,anger,23
209,Gunmen kill 9 at Iraqi TV station,anger,7
210,Hastert sorry for scandal but not quitting,anger,0
211,Ex-JonBenet suspect Child porn case dropped ,anger,28
212,"Waste plant fire forces 5,000 to evacuate ",anger,4
213,Toddler died from E. coli tainted spinach ,anger,5
214,Disturbing finds in child sex raids ,anger,26
215,Magazine lists women who had abortions ,anger,25
216,"Pot smokers may avoid Alzheimer's, study says ",anger,50
217,Student starts white men's club on campus ,anger,40
218,Kentucky wants to ban alcohol inhalers ,anger,0
219,Peter Pan flies into chapter two ,anger,7
220,Teen repellent inventor wins infamous prize ,anger,0
221,"Cher's dress, car, bed have new owners",anger,0
222,"Dow hits new record, eyes 12,000 ",anger,0
223,Ex-Virginia gov not running for president ,anger,0
224,Yankee pitcher's pilot log found ,anger,0
225,Dem leader's $1 million land deal under scrutiny ,anger,0
226,"Dad locked up son, watched on TV, police say ",anger,0
228,"Pit bulls jump miniature pony, leave her bloody ",anger,15
229,Alaska town cut off from rest of state by flood ,anger,4
230,Trailblazing trio protects City by the Bay ,anger,3
231,Madonna files adoption papers in Malawi,anger,4
232,'Dr. McDreamy' choked in 'Grey's' scuffle ,anger,3
233,"$10,000 poetry prize awarded ",anger,0
234,Las Vegas honour for tiger pair ,anger,0
235,UK characters boosting box office ,anger,0
236,Cher items snapped up at auction ,anger,0
237,Griffiths scorns Withnail 'play' ,anger,0
238,Lily Allen wins web music award ,anger,0
239,Costner appeals in casino wrangle,anger,0
240,Beyonce copyright claim rejected ,anger,12
241,Cohn gunman jailed for 36 years ,anger,0
242,Melua's deep sea gig sets record ,anger,55
243,Sri Lanka clashes kill 129 troops ,anger,10
244,Gunmen kill 11 in Iraq TV raid ,anger,13
245,Italy drops Sicily bridge plans ,anger,0
246,Amish killings school demolished ,anger,21
247,Pamuk wins Nobel Literature prize,anger,50
248,Madonna adoption bid approved ,anger,0
249,Man admits UK-US terror bomb plot,anger,33
250,Who are you calling fat?,anger,0
